,Achaea sp.1,Achaea sp.2,Achaea sp.3,Allobaccha sp.1,Amauris damocles,Amauris echeria,Amphipyrinae sp.1,Anoba sp.1,Anomis sp.1,Anthomyia sp.2-striped,Apallaga intermixtus,Apis mellifera,Asarkina africana - ericetorum,Asthenotricha sp.1,Asthenotricha sp.3,Bicyclus anisops,Big headed acalyptratae with striped abdomen,Black apoidea,Black-white fly,Brown amegilla,Cacyreus cf. lingeus,Calpinae sp.1,Calpinae sp.2,Cinnyris reichenowi,Cleora sp.1,Crambidae sp.2,Crambidae sp.3,Crambidae sp.4,Crambidae sp.5,Crambidae sp.6,Cramon fly sp.1,Cramon fly sp.2,Cyanomitra oritis,Darkish hoverfly,Derambila sp.1,Dysgonia sp.1,Ennominae sp.1,Ennominae sp.2,Ennominae sp.3,Episyrphus sp.1,Erastria sp.1,Erebidae sp.10,Erebidae sp.11,Erebidae sp.12,Erebidae sp.13,Erebidae sp.2,Erebidae sp.3,Erebidae sp.4,Erebidae sp.5,Erebidae sp.7,Erebidae sp.8,Eupithecia sp.1,Eupithecia sp.2,Eupithecia sp.3,Galtara sp.1,Geometridae sp.1,Geometridae sp.2,Geometridae sp.5,Geometrinae sp.1,Geometrinae sp.2,Geometrinae sp.3,Geometrinae sp.4,Geometrinae sp.5,Geometrinae sp.6,Graptomyza sp.1,Graptomyza sp.3 (small),Graptomyza sp.5,Herminiinae sp.2,Herminiinae sp.3,Herminiinae sp.4,Herminiinae sp.5,Herminiinae sp.6,Herminiinae sp.7,Herminiinae sp.8,Hippotion sp.1,Hippotion sp.2,Hypena sp.1,Hypeninae sp.7,Hypeninae sp.8,Larentiinae sp.1,Lithosiini sp.1,Macroglossinae sp.1,Macroglossinae sp.2,Macroglossum trochilus,Megaloglossus woermanni,Melanostoma sp.1,Melanostoma sp.2,Melanostoma sp.3,Mylothris cf. hilara,Mylothris jacksoni,Nephele sp.1,Noctuidae sp.1,Noctuidae sp.2,Noctuidae sp.3,Noctuidae sp.7,Odontiinae sp.1,"Orangish fly, long ant.",Papilio zoroastres,Plusiinae sp.1,Prasinocyma sp.1,Precis milonia,Psilocera sp.1,Pterophoridae sp.1,Pterophoridae sp.2,Pterophoridae sp.4,Pterophoridae sp.5,Pyraloidea sp.1,Pyraloidea sp.2,Pyraloidea sp.3,Pyraloidea sp.5,Pyraloidea sp.6,Pyraloidea sp.7,Robust fly with yellow abdomenal band,Scopula sp.1,Scopula sp.2,Scopula sp.3,Scopula sp.4,Semalea sp.1,Small fly with white abdomenal stripe,Small metallic acalyptratae,Small orange acalyptratae,Spilomelinae sp.1,Spilomelinae sp.4,Spilomelinae sp.6,Sterrhinae sp.1,Sterrhinae sp.2,Syllepte sp.1,Syrphidae sp.7,Tephritoidea sp.10,Theretra sp.1,Theretra sp.2,Thin abdomen fly,Tolna sp.2,Unidentified micro-moth sp.1,Unidentified micro-moth sp.2,Unidentified micro-moth sp.3,Unidentified micro-moth sp.4,Unidentified micro-moth sp.6,Vanessula milca,Xanthorhoe sp.1,Xanthorhoe sp.2,Xanthorhoe sp.3,Xanthorhoe sp.4,Xanthorhoe sp.5,Xylocopa sp.1,Yellow abdomen fly,Yellow-black graptomyza
ADEMAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00271924,,0.00203943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRSPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRSPW,,,,,,,,,,,,,,,,0.000135851,,,,,,,,,,,,,,,,,0.000271702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOPAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGMAN,,,,,,,,,,,,,,,,,,0.002525253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000505051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIOWA,,,,,,,,,,,,0.0001221,,,,,,,,0.000458084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11E-05,,,,,,,,,,,9.16E-05,,,6.11E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05E-05,,,,,,,,,,,,,,,0.001863005,,
BRISPE,,,,,,,1.29E-05,,,,,7.75E-05,,,,,3.88E-05,,,,,,,,,,,,,,3.88E-05,,,,,,,,,,,,,,,,,,,,,,,,,5.17E-05,,,,6.46E-05,,,,,,,,6.46E-05,1.29E-05,,,,,,,,1.29E-05,,,1.29E-05,,,,,,,,,,,,,,,,,,,,,,,2.58E-05,,,,,7.75E-05,,1.29E-05,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001938,1.29E-05,,,,,,,,,2.58E-05,
CLESIM,,,,,,,,,,,,4.59E-05,,,,,,,,,,,,,,2.29E-05,2.29E-05,,9.17E-05,2.29E-05,,,,,,,,0.0004587,,,,,,,,,,,,2.29E-05,4.59E-05,,,,,,0.0001376,,,,,,,,,,2.29E-05,,,,,,,,,,,2.29E-05,,,,,,,,,,,,,,,,,,,,,,4.59E-05,0.0001835,,,2.29E-05,2.29E-05,,,,,,2.29E-05,,,2.29E-05,,,,,,,,,,,,,,,,,,,,4.58E-05,,0.0005272,,,,,,6.88E-05,6.88E-05,,,,
COSDUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000672948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006123,0.0003297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESREP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICVES,,,,,,,,,,,,3.84E-05,,,,,,7.67E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001918,7.67E-05,,,7.68E-05,0.0001151,,,,,,,,,,,3.84E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67E-05,,,,,,,,,,,
ENGGAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99E-05,,,,,,,,,,,,,
HYPTRI,,,,,,,,,,,7.1E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000497152,,,,,,,,,,,,,,,
IMPBUR,,,,,,,,,,,,0.000232019,,,,,,,,,,,,,,,,,,,,,,0.000232019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000928076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003064072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000139276,0.000139276,0.001949864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000139276,,,,,,,,,,,
ISORAM,,,,,,,,,,,,,,,,,,,,,0.000491521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEEMAN,,0.00015649,,,,,,8.24E-06,,5.24E-06,,0.00544225,1.7219E-05,2.843E-05,,,,,,,,,,,,2.475E-05,,,,,,,,,,,5.98E-06,,,,0.0001445,,,,,,6.74E-06,7.49E-06,,,,,,,,1.1239E-05,,,0.00011758,1.05E-05,,,,,2.772E-05,,,,,,,,,,,,,,,,,,,,,,,,5.24E-06,,,,,,,,,,2.249E-05,1.497E-05,,3.74E-06,2.99E-06,,,,,6.739E-06,8.98E-06,,,,,2.99E-06,6.2879E-05,,,,,,,5.162E-05,,2.55E-05,8.229E-06,5.98E-06,,,,,,,,,,2.0217E-05,7.49E-07,,,1.947E-05,2.99E-06,,,,,,
KIGAFR,,,,,,,,,,,,0.006720451,,,,,,,,,,,,0.000504053,,,0.000252,,,,,,0.000588106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELSCA,,,,,,,,,,,,0.000968723,,,,,,,,,0.000691945,,,,,,,,,,,,,0.000138389,,0.000138389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001245501,0.000138389,,,,,,,,,,,,,,,,,,,,,,,0.000138389,,,0.000138389,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000276778,,,,,,,,,0.000138389,,,,,,,0.000138389,0.000138389,,0.000138389,,,,,,,,0.000138389
MUSTEN,,,,,,,,,,,,,,,,,,0.0001872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68E-05,,,,,,,4.68E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000280611,,,,,,,,,,,,,,,,,
ONCLOP,,,,0.000685401,,,,,,,,,,,,,,0.002056203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000685401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002056203,,,,,,,,,,,,,,,,,0.016449624,,
PALPRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000125889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAVBRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000462641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEKAM,,,,,,,,,,,,0.000653957,,,,,,4.67E-05,,,0.0001401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000373712,,
PSYDUN,,,,5.64E-06,,,,,3.1E-05,,,0.0058097,3.67E-05,3.384E-05,,1.41E-05,,,5.64E-06,,,,,5.64E-05,,,,2.82E-06,,,,,,,,,,,,,5.36E-05,,9.03E-05,0.000101537,,,,,2.26E-05,,,,,2.26E-05,,,5.36E-05,,,,6.49E-05,,,3.38E-05,0.00082072,,,,,,,,,,,,,,,,,,,,,3.668E-05,8.176E-05,0.00024522,3.662E-05,,,6.21E-05,,,,,1.97E-05,,,,,,1.41E-05,1.13E-05,,,,8.46E-06,,,,,,3.662E-05,,8.46E-06,,,,,,2.82E-06,,,,,1.41E-05,,,,,,,4.79E-05,,0.00072468,3.1E-05,,,,,,,,,2.82E-06,
RUTSMI,,,,3.06E-05,,,,,,,,,,,,,,,,,,,,,,,,4.08E-05,,,,,,,,,2.04E-05,,,,,,,,,,,,,,,1.02E-05,,,,,,,,,,0.00015308,,,2.04E-05,9.18E-05,3.06E-05,,,3.06E-05,,,,,,,,,4.08E-05,,,,,,,,,,,,,,,,,,,,,0.0001122,,,0.000122464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003366112,,,,,,,,,,,
RUTSP1,,,,,,,,,,,,,,,0.000196619,,,,,,,,,,,,,,,6.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016385,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016385,0.0003933,,,,,,,,,,,
SOLMAN,3.03E-05,,,,1.512E-05,,1.008E-05,,,,,3.272E-05,,,,,,,,,,2.52E-06,,,,,,2.02E-05,2.52E-06,,,,,,,,,,,,,3.02E-05,,,3.274E-05,,,,,,,5.04E-06,,,0.000143594,,,1.51E-05,,,,,2.27E-05,,,,,,2.52E-06,,6.054E-05,,7.56E-06,2.02E-05,,,,,,,,,,,,,,,,,,,2.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26E-05,,,,,,,,,1.514E-05,2.27E-05,,,
STAACU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYZGUI,,,,,,0.0001579,,,,,,0.000271,,,,,,,,,,,2.26E-05,0.000361082,4.51E-05,,,9.04E-05,2.26E-05,2.26E-05,,,,,0.0002259,,,,0.0001129,,,,,,,,,,,,,,0.0001129,,,6.77E-05,4.51E-05,,,4.52E-05,,9.03E-05,,,,,,,,,2.26E-05,4.51E-05,,,,,,,,,4.51E-05,,,,,,,,9.03E-05,,,,,2.26E-05,,9.03E-05,,,,,,,6.77E-05,,,,,,,,,,,,,,,,,,,,2.26E-05,,,,,,,,,,4.51E-05,0.0001355,,0.0023482,,,,2.26E-05,,,,,,,
TABVEN,,,6.23E-05,,,,,,,,,3.12E-05,,,,,,,,,,,,0.000405007,,,,,6.24E-05,,,,,,,,,,,,,,,3.12E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12E-05,,,,3.12E-05,,,,,,,,,,,,,,,,,,,3.12E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001558,,,,,,,6.23E-05,,,,,,,,,
TYLANO,,,,,,,,,,,,0.000467084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00029184,,,1.95E-05,,,,,,,,0.000214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00029184,,,,0.00029186,,,,,,,,,,,,,,,,,,,0.0001557,,,,,,,,,,,
VERBIA,,,,,,,,,,,,0.005864527,,,,,,,,,1.2E-05,,,,,,,,1.2E-05,,,,,,,,,,,,,,,0.000119892,,,,,,,,,,,,,,,1.2E-05,,1.2E-05,,,,,,,,,,,,,,,3.6E-05,,,,,,,,0.000611556,,1.2E-05,,3.6E-05,0.003359131,6E-05,7.19E-05,4.8E-05,,,,,,0.000359648,,,,,0.0001319,2.4E-05,,3.6E-05,4.8E-05,,,1.2E-05,,,,,,0.0001319,0.0001319,,,,6E-05,,,,,,,,,,,,2.4E-05,,,6E-05,,,,,,,,,0.0002517,0.0003479,
VIOABY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000350877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
