,Allobaccha sp.1,Apis mellifera,Asarkina africana - ericetorum,Bee-like hoverfly sp.4,Bettonula bettoni,Black apoidea,Black-white fly,Brown apoidea with orange band,Brown/striped fly,Brown-striped fly,Calpinae sp.1,Calyptratae cf. glossina sp.,Coeliades forestan,Crambidae sp.1,Crambidae sp.4,Crambidae sp.7,Crambidae sp.8,Cyanomitra oritis,Derambila sp.1,Erebidae sp.6,Geometridae sp.3,Geometrinae sp.3,Geometrinae sp.6,Graptomyza sp.1,Graptomyza sp.3 (small),Hippotion osiris,Hypena sp.1,Hypeninae sp.2,Hypeninae sp.4,Macroglossum trochilus,Melanostoma sp.1,Melanostoma sp.2,Melanostoma sp.3,Meza sp.1,Mylothris cf. hilara,Nephele sp.1,Noctuidae sp.1,Noctuidae sp.4,Noctuidae sp.6,Noctuinae sp.1,Noctuinae sp.2,Orange abdomen apoidea,"Orangish fly, long ant.",Papilio zoroastres,Plusiinae sp.1,Pterophoridae sp.3,Pyraloidea sp.1,Red-butt hoverfly,Sarothroceras sp.1,Semalea sp.1,Small diptera cf. psychodidae,Small metallic acalyptratae,Small orange acalyptratae with white abdomen,Spepri diptera sp.1,Spepri diptera sp.2,Spilomelinae sp.1,Spilomelinae sp.2,Spilomelinae sp.3,Spilomelinae sp.5,Spilomelinae sp.6,Spilomelinae sp.7,Spilomelinae sp.8,Syrphidae sp.7,Tachinidae sp.1 - red,Tephritoidea sp.20,Theretra orpheus,Thin abdomen fly,Unidentified micro-moth sp.1,Unidentified micro-moth sp.3,Unidentified micro-moth sp.4,Vanessula milca,Xanthorhoe sp.5,Yellow abdomen fly
ADEMAU,,,,,,,,,,,,,,,,,,,,,,,,0.000347222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGOXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004219409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGOXY,,,6.16E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000431252,,0.001047283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGPOC,,,,,,0.000144259,,,,,,,,,,,,,,,,,,0.000144259,,,,,,,0.00432777,,0.000721295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHALAI,,,0.00066291,,,,,,,,,,,,,,,,,0.000331455,,,,,0.00132582,,,,,,0.00464037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHLCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005390838,,0.003593892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLESIL,,,,,,,,,,,,,,0.00056986,2.85E-05,,,,,,5.7E-05,0.00014245,0.00017095,,,,,,,,0.00116823,,,5.7E-05,,,0.00011396,,0.00014245,,,,,,,,,0.00011396,,,,,,,,,0.00065533,,,,,5.7E-05,,,,,,,,,,2.85E-05,
COMCAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000892061,0.002676183,0.004460305,,,,,,,,,,,,,,,,,0.000892061,,,,,,,,,,,,,,,,,,,,,,,
CRAMON,,,,,,,,,,0.001368273,,,,,,,,,,,,,,,,,,6.84E-05,,,0.005268094,,0.001847235,,,,,,,,,,,,,0.0001368,,,,,0.001026199,,,,,,,,,,,,,,0.000136836,,,0.000136836,6.84E-05,0.000273673,0.008141748,,
CYNSP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79E-05,,0.000293578,,,,,,,,,,0.000391382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISKAW,,,,0.000354234,,,0.000354234,,,,,,,,,,,,,,,,,,,,,,,,,,0.000177117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EULHOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000648508,,,,,,,,,,,,,,,,,,,,,0.000648508,,,,,,,
GALSIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000119062,,,,,,,,,,,,,,,,,,,,0.000357185
IMPBUR,,,,,,,,,0.000164663,,,,,,,,0.000164663,,,,,,,,0.000164663,,,,,,0.002963934,,0.020582875,,,,,,,,,,,,,0.000164663,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPETI,,,,,,,,,,,,,,,,,,0.000149098,,,,,,,,,,,,,0.000149098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000149098,,,,,,,,,,
IMPMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001286792,,0.015924051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPNIA,,,,,,,,,,,,,,,,,,0.00160293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISOGLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003080987,,0.001760564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IXOGUI,,,,,1.91E-05,,,,,,,,0.000209968,6.684E-05,,0.000248068,,,0.005421144,,2.86E-05,,,0.0002195,2.86E-05,,,,1.91E-05,0.000114528,0.000171756,0.000105,9.54E-06,,2.86E-05,1.91E-05,,1.91E-05,,4.77E-05,,,,4.77E-05,,,9.54E-06,,3.82E-05,,,,,,,6.68E-05,0.002156996,0.000200472,0.0001145,0.0002672,5.73E-05,,,2.86E-05,,,,,,,,,
MELSCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000141383,,,,,
PIPCAP,,,,,,,,,,,8.74E-06,,,,,,,,,,,,,,,,,,,,0.000524353,,0.000275363,,,,,,,,,,,,,,,,,,,6.55E-06,,,,,,,,,,,,,,,,,,,,,
PLEKAM,,7.7E-05,0.000115562,,,3.85E-05,,0.000231062,,,,,,,,,,,,,,,,,,3.85E-05,,,,,0.001578831,,0.0003465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLBIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000329341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREKAM,0.000276417,0.000691086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000483734,0.000138217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002329646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEPRI,0.000114416,,,,,,,,,,,,,,,,,,,,,,,,,,0.000228833,,,,0.002631575,,0.003890153,,,,,,,,,,,,,,,,,,,,,0.001372992,0.001372994,,,,,,,,,,,,,,,,,,
STAACU,,,,,,,,7.45E-05,,,,0.000298,,,,,,,,,,,,,,,,,,,0.0002236,,0.00160224,,,,,,,,,7.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,0.0004472,,,,,,
THARHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07E-05,,,,,,,,6.22E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THOSAN,,,,,,,0.00026781,,,,,,,,,,,0.01205145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
