,Acleros bibundica,Acraea alcinoe,Acraea bonasia,Acraea elongata,Acraea judutta,Acraea lycoa,Acraea penelope,Acraea pharsalus,Acraea rogersi,Acraea umbra carpenteri,Allobaccha sp.4,Anoba sp.1,Anoba sp.2,Anoba sp.3,Anthene definita,Apis mellifera,Appias cf. sabina,Asarkina africana - ericetorum,Asilidae sp.2,Asthenotricha sp.1,Bee-like hoverfly sp.2,Bee-like hoverfly sp.3,Bettonula bettoni,Big black and white apoidea,Big black scoliid,Black and yellow apoidea ,Black apoidea,Black wing fly,Blue amegilla,Brown amegilla,Cacyreus cf. lingeus,Celaenorrhinus dargei,Ceratrichia clara,Ceratrichia flava,Cinnyris ursulae,Coeliades forestan,Coeliades libeon,Crambidae sp.12,Crambidae sp.13,Crambidae sp.14,Crambidae sp.15,Crambidae sp.3,Crambidae sp.5,Crambidae sp.6,Cramon fly sp.1,Cyanomitra oritis,Cymothoe weymeri,Darkish hoverfly,Derambila sp.2,Eagris decastigma,Ennominae sp.3,Ennominae sp.7,Ennominae sp.8,Erebidae sp.15,Erebidae sp.20,Erebidae sp.21,Erebidae sp.22,Erebidae sp.23,Erebidae sp.24,Erebidae sp.26,Erebidae sp.27,Erebidae sp.28,Erebidae sp.29,Erebidae sp.3,Erebidae sp.30,Erebidae sp.31,Erebidae sp.5,Erebinae sp.4,Euchrysops malathana,Geometridae sp.10,Geometridae sp.2,Geometridae sp.6,Geometridae sp.8,Geometridae sp.9,Geometrinae sp.1,Geometrinae sp.10,Geometrinae sp.11,Geometrinae sp.4,Geometrinae sp.9,Graptomyza sp.4,Graptomyza sp.5,Herminiinae sp.10,Herminiinae sp.11,Herminiinae sp.13,Herminiinae sp.16,Herminiinae sp.17,Herminiinae sp.19,Herminiinae sp.20,Herminiinae sp.7,Hippotion sp.3,Hypeninae sp.10,Hypeninae sp.11,Hypeninae sp.12,Hypeninae sp.13,Hypeninae sp.14,Hypeninae sp.15,Hypeninae sp.16,Hypeninae sp.3,Hypeninae sp.5,Hypeninae sp.9,Hypolimnas salmacis,Junonia terea,Larentiinae sp.4,Leptosia alcesta,Leptosia cf. hybrida,Macroglossinae sp.1,Macroglossinae sp.3,Macroglossinae sp.4,Macroglossinae sp.8,Melanostoma sp.1,Melittia sp.1,Micropezidae sp.1,Mylothris cf. hilara,Nephele sp.1,Nephele sp.3,Nepheronia argia,Noctuidae sp.10,Noctuidae sp.14,Noctuidae sp.16,Noctuidae sp.17,Noctuidae sp.18,Noctuidae sp.19,Noctuidae sp.20,Noctuidae sp.21,Noctuidae sp.22,Noctuidae sp.9,Orange abdomen apoidea,Orange hairy fly,Orange-black fly,Papilio dardanus,Papilio zenobia,Papilio zoroastres,Pardaleodes tibullus,Phalanta eurytis,Plusiinae sp.1,Plusiinae sp.2,Plusiinae sp.3,Plusiinae sp.4,Plusiinae sp.5,Prasinocyma sp.1,Prasinocyma sp.2,Pterophoridae sp.1,Pyraloidea sp.10,Pyraloidea sp.12,Pyraloidea sp.14,Pyraloidea sp.15,Pyraloidea sp.16,Pyraloidea sp.17,Pyraloidea sp.18,Pyraloidea sp.20,Pyraloidea sp.21,Pyraloidea sp.9,Racotis sp.1,Red eyed b&w acalyptratae,Robust metallic acalyptratae,Scopula sp.1,Scopula sp.5,Semalea sp.1,Sessidae sp.1,Sessidae sp.2,Small striped acalyptratae,Spilomelinae sp.3,Sterrhinae sp.3,Striped apoidea,Striped culicid,Syntominii sp.1,Syrphidae sp.5,Tabanidae sp.1,Tachinidae sp.2,Tachinidae sp.3,Tachinidae sp.4,Tachinidae sp.5,Tephritoidea sp.12,Tephritoidea sp.13,Tephritoidea sp.3 dots,Tephritoidea sp.7,Thermoniphas alberici,Thrinchostoma sp.1,Unidentified micro-moth sp.1,Unidentified micro-moth sp.3,Vanessula milca,Xylocopa sp.1,Xylocopa sp.2
AFRSPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003062311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANCDIF,,,,,,,,,,,,,,,,0.000133458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000133458,,,,,,,,,,,,,,,,0.000400374,,,,,,,,,,,,,,,,,,,,,,,,,,0.00066729,0.004270656,,,,,,0.001067664,,,,,,,,,,,,0.000266916,0.000800748,,,,,,,,,
ANESP1,,,,,,,,,,,0.000693964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000277585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000277586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001665512,,,,0.00055517,
ARGAFZ,,,,,,,,,,,,,,,,,,0.0001656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28E-05,,,,4.14E-05,,,
BEGFUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000169635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGLET,,,,,,,,,,,0.0001153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001153,,,,,,,,,,,,,,,,,,,,,,,0.000807103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001153,,0.001153003,,,,,
BEGMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIOWA,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005389,,,,0.000760779,
CAMFLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02E-05,0.0002005,,,5.01E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51E-05,,,,,,,,,,,0.0002007,,,,0.0006017,
CHASCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHLCOM,,,,,,,,,,,0.002530044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHYSP1,,,3.04E-05,,,,,,,,,1.52E-05,,9.12E-05,3.04E-05,0.002523416,,,,,,,,0.0002432,,6.08E-05,,,,,,,,,,,,,,,3.04E-05,,,1.52E-05,,,6.08E-05,,,,6.08E-05,7.6E-05,9.12E-05,,,7.6E-05,,,,0.0002432,,,1.52E-05,7.6E-05,7.6E-05,0.0001216,,,,,0.0001976,1.52E-05,,1.52E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001216,,,,,,,,,,,,,,,0.0001216,0.0001216,,,4.56E-05,,4.56E-05,1.52E-05,4.56E-05,,,,,,,,,0.000608208,,3.04E-05,,,,,,,,,,,,,,6.08E-05,7.6E-05,,1.52E-05,,,,,,,1.52E-05,,,0.0001064,0.0009576,,,,0.000532064,,,,,,,,,,,0.0002432,9.12E-05,,0.0001976,
CISORE,,,0.001557884,,,,,2.78E-05,,,,,,,,0.001502468,8.35E-05,0.000389533,,,,8.34E-05,,,9.74E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMSP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006079028,,,,,
CORAUR,,0.000120897,,0.000181297,,,0.000846183,,0.000241746,,,,,,,0.001752861,,,,,0.000181346,,,,,,,,,,,,,,6.04E-05,,0.00042314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04E-05,0.000120897,,,,,,,,,,,,,,,,,,6.04E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000120897,,,,,,,,,,,,,,,0.003142306,0.000120897
CRAMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07E-05,,
CUVLON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000325203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEISP1,,,,,,,,,,,,,,,,,,,,,,,,,6.94E-05,,,,,,,,,,,,,3.47E-05,,,,,,,,,,,,,,,,0.000555022,,,0.0001041,6.94E-05,,,,0.000173436,,,,,,,,,,,,,,,,,6.94E-05,3.47E-05,0.000555149,0.0001388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001041,0.000277498,3.47E-05,,,,,,,,,,,,,,,,,,,,,,,3.47E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47E-05,,,,
DIOCUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00077814,6.77E-05,,,,,,,,,,,,,,,,,,,,,,,,,0.000101485,,,,,,,,,,
DISCAL,,,,,,,,,,,,,,,,0.001672218,,,,2.09E-05,,,,,,,,0.001170633,,,,,,,,,,,,,,,0.0001045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18E-05,,2.09E-05,2.09E-05,,8.36E-05,,,,,,,,,,,,,2.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09E-05,,,,,,,,,,,,,,,,0.000229952,,,,,,,,,,,,,,,,,,,,,2.09E-05,,0.000355368,,,,,,,,,,4.18E-05,,,,
DISHEX,,,,,,,,,,,,,,,,,,,4.8E-06,,,,,,,,8.16E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.919E-05,,,,,,,4.8E-06,,,,,,6.23E-05,,,,,,,,,,,,,9.6E-06,,9.59E-06,1.44E-05,,,,,9.59E-06,1.44E-05,7.678E-05,9.59E-06,,,0.00016318,3.839E-05,8.64E-05,2.4E-05,,,,,,,,,,,,,,,,,,,4.8E-06,,,,,,,,,,1.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4E-05,,,,,,,,,,,,,,,,,1.44E-05,,,,,,,,,
DISSP1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001431025,,,0.00343446,,,0.000286205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01774471,,,,,
DISSP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010791366,,,,,
GRELIA,,,,,3.38E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000101427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000101427,,,,,,,,
KIGAFR,,,,,,,,,,,,,,,,0.000107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010866,,,,,,,,,,,,,,,,,,,,,,,,,0.00021732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPMAC,,,,,,,,,,,0.000415743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000277162,,,,,
MELSCA,,,0.000419697,,,0.001119192,,,,,,,,,,,,,,,,,,,,,,,,,0.001538889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000279798,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000139899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000419697,,,,,,,0.000139899,,,,0.000979293,,
MIKCOR,4.38E-05,,,,,,,,,,,,,,,,,,,,,,,,2.19E-05,,,,,,,4.38E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUSTEN,,,,,,,,,,,,,,,,6.31E-05,,,,,,,,,,,6.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31E-05,,0.000189307,,,,,,0.0001262,0.000189307,0.000315514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONCDEN,,,,,,,,,,,,,,,,0.000347222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000173611,,0.000520833,
ONCOVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004973064,,,,,0.001243266
PALBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002628158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009544184,,,,,
PALPRE,,,,,,,,,,,,,,,,0.00265252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00265252,
PAVRIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73E-06,4.075E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.781E-05,,,,,,,,,
PIPUMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79E-06,
PLEGLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00107511,
PLEKAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000528401,,,,,
PSYLEP,,,,,,,,,,,,,,,,,,,,,,,,,0.000527999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010566765,,,,0.000960615,
SCACIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013415,,,,,,,,,,,9.138E-05,,,,,,,,,,6.09E-06,,,,,3.04E-05,,,,,,,,,,,1.22E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44E-05,,6.09E-06,,
SCHMAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000717458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000179361,
SHEBIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001218396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABBRA,,,,,,,,,,,,6.72E-05,,,,0.00067207,,,,,,,,,,,,,,,,6.72E-05,,,,,,,,,,,,,,,,,0.0001344,,,,,,,,,,,,,,,0.0001344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72E-05,,,,,,,,,,,,,0.0001344,,,,,,,,,,,,,,,,,6.72E-05,,,,
TABVEN,,,,,,,,,,7.87E-05,,0.000314769,,,,0.0007083,,,,,,,7.87E-05,,0.000236069,,,,,,,0.0006296,,,,0.0001574,0.000157369,7.87E-05,0.000787,,,,,,,,,,7.87E-05,7.87E-05,,,,,,,,,,7.87E-05,7.87E-05,,,7.87E-05,,,,,,,,7.87E-05,,,,,,,,,,,,,,,7.87E-05,,,0.0002361,,,,,,,,,,,,,0.0001574,,,,,,,,,,,,,,,,,,,,,,,,,,0.000157369,,,,7.87E-05,,7.87E-05,,7.87E-05,7.87E-05,7.87E-05,0.0001574,,,0.000944307,7.87E-05,,,,,,,,,,,,,,7.87E-05,,,,,,,,,,,,,,,,,,,,7.87E-05,,,0.0004722,,
THUFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000556328,,,,,,,0.000278164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001947148,,,,,
TRCSP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000506842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIRUB,,,,,,,,,,,,,,,,,,,,,,,,,0.0008342,,,,,,,,,,,,,,,,,3.21E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41E-05,,0.001283,,,3.21E-05,,,,,,,,,,,,,6.41E-05,,,,,,,,9.63E-05,,,,,,,,6.41E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42E-05,,,,,,,,,,3.21E-05,,,,,,,6.41E-05,,,,,,,,3.21E-05,,,,,,,,,,,,,,,,
VOAAFR,,,,,,,,,,,,,0.0004415,,,0.002238845,,,,,,,,,,,6.31E-05,,,,,,,,,,,6.3E-05,3.15E-05,6.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15E-05,,,,,,9.46E-05,,,0.000220737,,,,3.15E-05,,,,,,,6.31E-05,3.15E-05,,,,,,,,,,,,,,6.31E-05,,,,,,6.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3E-05,,,3.15E-05,3.15E-05,,,,,,,,3.15E-05,9.46E-05,,,,,3.15E-05,3.15E-05,,,,,,,3.15E-05,,3.15E-05,,
